"experiment_replicate","day","ID","cfu_ul","od_blanked","inflow_setting","outflow_per_hour_mean","dilution_rate","inflow_volume","max_volume","dilution_rate_2","n"
"dd2",2,"M1",905714.285714286,0.1864,5e-04,4.29787234042553,0.204660587639311,1.43262411347518,22.4326241134752,0.191590262409105,1
"dd2",2,"M2",778000,0.1644,0.001,7.21276595744681,0.343465045592705,2.40425531914894,23.4042553191489,0.308181818181818,1
"dd2",2,"M3",626000,0.1425,0.00125,9.27659574468085,0.441742654508612,3.09219858156028,24.0921985815603,0.385045628495732,1
"dd2",2,"M5",846666.666666667,0.1898,0.00025,2.38297872340426,0.113475177304965,0.794326241134752,21.7943262411348,0.109339407744875,1
"dd2",2,"M6",612000,0.159,0.00075,5.8936170212766,0.2806484295846,1.9645390070922,22.9645390070922,0.256639901173564,1
"dd2",2,"M7",548888.888888889,0.1472,0.0015,11.6382978723404,0.554204660587639,3.87943262411348,24.8794326241135,0.467787913340935,1
"dd3",4,"M1",554000,0.1659,1e-04,1.08639455782313,0.0517330741820538,0.362131519274376,21.3621315192744,0.050856093496237,1
"dd3",4,"M2",123555.555555556,0.053,0.0025,17.7591801578513,0.845675245611964,5.91972671928375,26.9197267192838,0.659708783192424,1
"dd3",4,"M5",672000,0.1357,0.0022,15.9834467120181,0.761116510096102,5.32781557067271,26.3278155706727,0.607093538357301,1
"dd3",4,"M7",510000,0.0938,0.0028,18.2864595967586,0.870783790321838,6.09548653225287,27.0954865322529,0.674889508811421,1
"dd4",4,"M0",116444.444444444,0.0483,0.0028,21.1743959697788,1.00830456998947,7.05813198992626,28.0581319899263,0.754661642385211,1
"dd4",4,"M1",480000,0.1506,1e-04,0.816326530612245,0.0388726919339164,0.272108843537415,21.2721088435374,0.0383754397185801,1
"dd4",4,"M2",69800,0.0287,0.003,22.0356946721367,1.04931879391127,7.34523155737891,28.3452315573789,0.777403939266826,1
"dd4",4,"M3",538000,0.1596,5e-05,1.22448979591837,0.0583090379008746,0.408163265306122,21.4081632653061,0.0571973307912297,1
"dd4",2,"M4",478000,0.1329,0.0022,14.6358839704611,0.696946855736242,4.8786279901537,25.8786279901537,0.565558729621591,1
"dd4",4,"M5",360000,0.0957,0.0024,18.2196744199232,0.867603543805865,6.07322480664106,27.0732248066411,0.672977620880018,1
"dd4",4,"M7",272000,0.1043,0.0026,16.8079373178876,0.800377967518456,5.60264577262919,26.6026457726292,0.631814499262357,1
"dd6",3,"M0",317500,0.028,0.003,21.7708333333333,1.03670634920635,7.25694444444445,28.2569444444444,0.770459572376505,1
"dd6",2,"M2",908000,0.146,5e-04,3.125,0.148809523809524,1.04166666666667,22.0416666666667,0.141776937618147,1
"dd6",2,"M3",1018000,0.115,0.0015,10.3125,0.491071428571429,3.4375,24.4375,0.421994884910486,1
"dd6",2,"M4",1146666.66666667,0.17,0.001,6.35416666666667,0.302579365079365,2.11805555555556,23.1180555555556,0.274857314508861,1
"dd6",3,"M6",430000,0.074,0.0025,16.4583333333333,0.783730158730159,5.48611111111111,26.4861111111111,0.62139486103828,1
"dd6",2,"M7",516000,0.119,0.002,13.9583333333333,0.66468253968254,4.65277777777778,25.6527777777778,0.544125609095831,1
"dd7",4,"M0",531111.111111111,0.11,0.0025,16.4974992644896,0.785595203070931,5.49916642149652,26.4991664214965,0.622566725385993,1
"dd7",2,"M1",666000,0.161,0.001,7.55388841927303,0.359708972346335,2.51796280642434,23.5179628064243,0.321196545867891,1
"dd7",2,"M3",744000,0.138,0.002,11.3293357283742,0.539492177541628,3.7764452427914,24.7764452427914,0.457262356135225,1
"dd7",4,"M4",776000,0.173,1e-04,0.828754578754579,0.039464503750218,0.276251526251526,21.2762515262515,0.0389520953788324,1
"dd7",4,"M5",59600,0.022,0.003,20.5633629191321,0.979207758053912,6.85445430637738,27.8544543063774,0.738243251616101,1
"dd7",2,"M6",1e+06,0.154,5e-04,2.93762327416174,0.13988682257913,0.979207758053912,21.9792077580539,0.133654647906283,1
"dd7",2,"M7",1057777.77777778,0.179,0.0015,9.86202099182868,0.469620047229937,3.28734033060956,24.2873403306096,0.406056029914461,1
